make,model,year,mileage,fuel,body,no_accidents,price,currency
volkswagen,golf,2007,211000,diesel,kompakt,True,18800,PLN
volkswagen,golf,2004,205000,benzyna,kompakt,True,14900,PLN
volkswagen,golf,2011,155000,benzyna,kompakt,True,28900,PLN
volkswagen,golf,2017,8000,benzyna,kompakt,True,137900,PLN
volkswagen,golf,2007,181205,benzyna,kompakt,False,6000,PLN
volkswagen,golf,2013,14635,benzyna,kompakt,False,58500,PLN
volkswagen,golf,2006,170000,diesel,kompakt,False,15700,PLN
volkswagen,golf,2018,1,benzyna,kompakt,True,178900,PLN
volkswagen,golf,2018,1,diesel,kombi,True,76900,PLN
volkswagen,golf,2018,1,benzyna,kompakt,True,91900,PLN
volkswagen,golf,2002,258418,diesel,kombi,True,6400,PLN
volkswagen,golf,2014,256000,diesel,kompakt,False,31900,PLN
volkswagen,golf,2007,200800,benzyna,kompakt,True,21900,PLN
volkswagen,golf,2013,118000,diesel,kompakt,False,49600,PLN
volkswagen,golf,2018,1,benzyna,kompakt,True,172900,PLN
volkswagen,golf,2009,111000,benzyna,kompakt,False,24900,PLN
volkswagen,golf,2018,5,benzyna,kompakt,True,139900,PLN
volkswagen,golf,2018,5,benzyna,kompakt,True,90500,PLN
volkswagen,golf,2018,5,benzyna,kompakt,True,87200,PLN
volkswagen,golf,2018,5,benzyna,kombi,True,91100,PLN
volkswagen,golf,2018,5,benzyna,kombi,True,85900,PLN
volkswagen,golf,2018,5,benzyna,kompakt,True,95900,PLN
volkswagen,golf,2009,214145,diesel,kombi,True,19950,PLN
volkswagen,golf,2015,167000,diesel,kombi,True,42900,PLN
volkswagen,golf,2015,99520,diesel,kombi,True,49900,PLN
volkswagen,golf,2005,230000,benzyna,kompakt,False,25000,PLN
volkswagen,golf,2009,159000,diesel,kompakt,True,26000,PLN
volkswagen,golf,2010,250000,diesel,kompakt,True,24999,PLN
volkswagen,golf,2004,336000,diesel,kompakt,False,11500,PLN
volkswagen,golf,2015,148644,diesel,kombi,False,34958,PLN
volkswagen,golf,2015,19300,diesel,kompakt,True,74790,PLN
volkswagen,golf,2007,207000,diesel,kompakt,False,14900,PLN
volkswagen,golf,2015,29800,diesel,auta_miejskie,False,69900,PLN
volkswagen,golf,2006,150000,benzyna,auta_miejskie,False,14500,PLN
volkswagen,golf,2004,200000,diesel,kompakt,True,12900,PLN
volkswagen,golf,2008,250000,diesel,kombi,True,16500,PLN
volkswagen,golf,2018,4500,benzyna,kombi,True,88900,PLN
volkswagen,golf,2007,193000,benzyna+lpg,kompakt,False,15500,PLN
volkswagen,golf,2004,218000,benzyna,kombi,False,9999,PLN
volkswagen,golf,2001,253000,benzyna,kompakt,False,7700,PLN
volkswagen,golf,2013,169000,diesel,kombi,False,45000,PLN
volkswagen,golf,2018,5,benzyna,kompakt,True,80300,PLN
volkswagen,golf,2015,114537,diesel,kombi,False,56900,PLN
